Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
sac,286,1,35.08,10.25,1.025,0.29,0.975,0.1919,0,0,0,0.0,513.203,-1,0.875,1419.912,57419991.606,119913092.399,666
sac,287,1,29.56,9.68,0.968,0.33,1.033,0.2285,0,0,0,0.0,425.34,-1,1.299,1328.669,124470467.563,79463714.448,444
sac,288,1,25.79,9.61,0.961,0.37,1.041,0.2402,0,0,0,0.0,135.869,-1,1.673,1065.356,19360203.64,64336152.389,277
sac,289,1,31.43,10.29,1.029,0.33,0.971,0.1965,0,0,0,0.0,482.698,-1,1.499,1063.785,58583613.046,128697845.071,501
sac,290,1,35.99,10.01,1.001,0.28,0.999,0.1669,0,0,0,0.0,618.157,-1,0.747,1838.764,97315349.948,249288859.067,704
sac,291,1,20.8,8.43,0.843,0.41,1.186,0.2796,0,0,0,0.0,2.976,-1,1.074,701.178,15771083.847,69846992.463,146
sac,292,1,80.31,14.28,1.428,0.18,0.7,0.125,0,0,5,0.0,2585.149,-1,1.047,1328.366,846186114.862,134043806.373,2497
sac,293,1,34.4,9.16,0.916,0.27,1.091,0.175,0,0,1,0.0,629.569,-1,1.13,1082.882,30749308.404,69670052.928,634
sac,294,1,28.74,10.11,1.011,0.35,0.989,0.2073,0,0,0,0.0,143.158,-1,1.429,1573.295,66747258.591,136113884.734,348
sac,295,1,41.21,10.84,1.084,0.26,0.923,0.1414,0,0,0,0.0,822.082,-1,1.362,1662.549,183915769.137,200401756.035,906
sac,296,1,24.74,8.48,0.848,0.34,1.179,0.2369,0,0,0,0.0,37.042,-1,1.33,718.664,168462.529,35295721.096,258
sac,298,1,45.01,12.9,1.29,0.29,0.775,0.1336,0,0,1,0.0,1091.603,-1,1.474,2100.71,618180677.855,261323789.363,986
sac,299,1,59.29,8.93,0.893,0.15,1.12,0.0,1,0,6,0.0,2143.557,-1,1.465,899.977,519494293.399,80441816.021,1905
